Unique_ID,FiscalYear,Institution,AmountPaid,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
177626.0,2019,Université Laval,48721.0,Operating Grant,Grant Program,Drug resistance mechanisms in the human pathogen Leishmania,Biomedical,Infectious and parasitic
735352.0,2019,Centre hospitalier de l'Universite Laval,41213.0,Operating Grant,Grant Program,Expression profiling in antibiotic resistant Streptococcus pneumoniae,Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
771424.0,2019,Centre hospitalier de l'Universite Laval,46435.0,Operating Grant,Grant Program,One carbon metabolism in the human parasite Leishmania,Biomedical,Infectious and parasitic
144702.0,2019,McGill University,101430.0,Operating Grant,Grant Program,Translational control in eukaryotic development,Biomedical,"Molecular, cellular and systems biology-cell signaling"
170874.0,2019,Sinai Health System,1358961.0,CIHR Team Grant Program,Grant Program,CIHR Team in Maternal Infant Care,Health systems/services,Health services research
413917.0,2019,Hospital for Sick Children,68375.0,Operating Grant,Grant Program,Epithelial cell signalling responses to attaching-effacing intestinal pathogens,Biomedical,Epidemiology
219800.0,2019,McGill University,366626.0,Emerging Team Grant: Applied Health Services and Policy Research,Grant Program,Improving Patient Safety and Chronic Disease Management with a New Generation of Health Information Technologies,Health systems/services,Health research
55506.0,2019,CIUSSS du Centre-Sud-de-l'Ile-de-Montreal,185072.0,Operating Grant,Grant Program,"Aging, neurofunctional reorganization and communication abilities",Clinical,Aging
46099.0,2019,McGill University,109656.0,Operating Grant,Grant Program,A Novel Method for Pharmacosurveillance: Combining an Electronic Prescribing and Drug Management System and Administrative Database,Social/Cultural/Environmental/Population Health,Health research
301830.0,2019,Research Institute of the McGill University Health Centre,212346.0,Operating Grant,Grant Program,Using Novel Canadian Resources to Improve Medication Reconciliation at Discharge,Health systems/services,Health services research
551598.0,2019,Centre hospitalier de l'Universite Laval,37500.0,Scientific Director Research Program Supplement,Grant Program,Research Program in Antimicrobial Resistance,Biomedical,Epidemiology
321408.0,2019,McGill University,37500.0,Scientific Director Research Program Supplement,Grant Program,Post-transcriptional Mechanisms of Gene Regulation in the Drosophila Germ Line,Biomedical,Molecular biology
339017.0,2019,Research Institute of the McGill University Health Centre,289216.0,Operating Grant,Grant Program,Evaluating the Accuracy of New Methods of Pharmacosurveillance: Computerized Administrative Data and Electronic Prescribing and Drug Management Systems,Social/Cultural/Environmental/Population Health,Health research
434022.0,2019,McGill University,100000.0,Institute Support Grant,Grant Program,"The Institute Support Grant for the CIHR Institute of Health Services and Policy Research, a constituent Institute of the Canadian Institutes of Health Research.",Social/Cultural/Environmental/Population Health,Health services research
517250.0,2019,McGill University,112500.0,Scientific Director Research Program Supplement,Grant Program,Scientific Director Research Project,Biomedical,Genetics
490200.0,2019,Queen's University,234921.0,Operating Grant,Grant Program,Randomized Trial Comparing Radical Hysterectomy and Pelvic Node Dissection vs Simple Hysterectomy and Pelvic Node Dissection in Patients with Low Risk Cervical Cancer Defined as Lesions Measuring Less than 2 cm with Less than 50% Stromal Invasion,Clinical,"Medical research, hospital treatment, surgery"
311144.0,2019,CIUSSS du Centre-Sud-de-l'Ile-de-Montreal,150000.0,Scientific Director Research Program Supplement,Grant Program,Supplement aux programme de recherche - directeur scientifique,Biomedical,Genetics
800712.0,2019,Université Laval,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,"Innovate SARD: Development, Validation and Testing of New Strategies to Improve the Outcome of Persons Living with Systemic Autoimmune Rheumatic Diseases (SARD)",Biomedical,Immunology and infection-immunology and autoimmune diseases (including rheumatology)
525353.0,2019,Dalhousie University,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,DIDRA Tier I CRC in Viral Vaccinology and Therapeutics,Biomedical,Viral
788834.0,2019,University of Toronto,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Molecular & Developmental Neurobiology,Biomedical,Molecular biology
107858.0,2019,Sinai Health System,150000.0,Scientific Director Research Program Supplement,Grant Program,Scientific Director Supplement Grant,Biomedical,Genetics
626641.0,2019,Sinai Health System,750000.0,Institute Support Grant,Grant Program,"The Institute Support Grant for the CIHR Institute of Human Development, Child and Youth Health, a constituent Institute of the Canadian Institutes of Health Research.",Social/Cultural/Environmental/Population Health,Health research
563986.0,2019,McMaster University,500000.0,Operating Grant,Grant Program,AllerGen (allergy genes and environment network),Biomedical,Genetics-molecular and functional genetics and epigenetics
180043.0,2019,University of Alberta,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Neurologic infection and immunity,Biomedical,Nervous system
150897.0,2019,University of Western Ontario,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Bioethics,Social/Cultural/Environmental/Population Health,Epidemiology
529079.0,2019,University of Toronto,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Mechanisms regulating immunologic disease,Biomedical,Immunology-transplantation
290061.0,2019,University of Toronto,50000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Molecular Cell Biology,Biomedical,Cell biology
700912.0,2019,McGill University,33334.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Parasite Biotechnology,Biomedical,Infectious and parasitic
511681.0,2019,McGill University,150000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Hypertension and Vascular Research,Clinical,Cardiovascular
619940.0,2019,University of Toronto,150000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Canada Research Chair in Imaging Systems and Image-Guided Therapy,Biomedical,Imaging
