Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
534803-2019,2019,Dalhousie University,5834.0,,Research Training and Talent Development,Investigating the occurrence and release of opportunistic pathogens from biofilms on corrosive surfaces in drinking water distribution systems.,Transportation systems and services,Civil engineering
546140-2020,2020,University of Calgary,5.0,,Research Training and Talent Development,Developing distributed learning algorithms for convolutional neural networks: a novel method for training deep learning models without sharing and collecting data,Information and communication services,Artificial intelligence
546014-2020,2020,Carleton University,5.0,,Research Training and Talent Development,"Investigation into the Fundamental Structure, Bonding, and Reactivity of Compounds Featuring Terminal Pnictogen-Pnictogen Multiple Bonds",Energy resources,Inorganic chemistry
544636-2019,2019,Brandon University,726.0,,Research Training and Talent Development,presentation and hands-on science activity,The socioeconomic objective available,Earth Sciences
544668-2019,2019,Cégep de la Gaspésie et des Îles,768.0,,Research Partnerships,Première rencontre avec l'entreprise Diana Food,The socioeconomic objective available,Food science and technology
546347-2019,2019,Cégep de Trois-Rivières,770.0,,Research Partnerships,"Développement d'une chaîne de valorisation de son de blé, co-produit de la farine de blé québécoise haut de gamme",Manufacturing processes and products,Materials science and technology
539059-2019,2019,École Polytechnique de Montréal,843.0,,Research Training and Talent Development,Système de visualisation assisté par nanoparticules pour la détection rapide de bactéries,"Health, education and social services",Biomedical engineering
537957-2019,2019,University of Guelph,994.0,,Research Training and Talent Development,Exploring Issues in Urban Ecology using Transdisciplinary Experiential Learning,The socioeconomic objective available,Evolution and ecology
538201-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,"Science, Meet Art Gallery",Information and communication services,The available search field
545514-2019,2019,Greater Vancouver Regional Science Fair Society,1000.0,,Research Training and Talent Development,2020 Greater Vancouver Regional Science Fair,Transportation systems and services,Bioanalytical chemistry
549032-2019,2019,University of Victoria,1000.0,,Research Training and Talent Development,A STEM Adventure,"Health, education and social services",The available search field
548900-2019,2019,Foundation for Education Perth Huron,1000.0,,Research Training and Talent Development,Avon Maitland Huron Perth Regional Science Fair,"Construction, urban and rural planning",Oceanography
542434-2019,2019,Université Laval,1000.0,,Research Training and Talent Development,Biologie des poissons,Environment,Biomedical engineering
548782-2019,2019,Bluewater Regional Science and Technology Fair,1000.0,,Research Training and Talent Development,Bluewater Regional Science and Technology Fair,Transportation systems and services,The available search field
548435-2019,2019,Calgary Youth Science Fair Society,1000.0,,Research Training and Talent Development,Calgary Youth Science Fair,Natural resources (economic aspects),Microbiology
544164-2019,2019,Youth Science Foundation Canada,1000.0,,Research Training and Talent Development,Canada-Wide Science Fair 2019,"Health, education and social services",Microbiology
548604-2019,2019,Canadian Rockies Regional Science Fair Society,1000.0,,Research Training and Talent Development,Canadian Rockies Regional Science Fair,Transportation systems and services,Terrestrial ecology
548914-2019,2019,Central Interior BC Science Exhibition Society,1000.0,,Research Training and Talent Development,Central Interior BC Science Fair Exhibition,The socioeconomic objective available,Microbial ecology
549170-2019,2019,University of Alberta,1000.0,,Research Training and Talent Development,Chemistry with Carmen!,Energy resources,Chemical engineering
545127-2019,2019,McGill University,1000.0,,Research Training and Talent Development,Conducting real-life-application experiments to promote science to underrepresented groups,"Health, education and social services",Statistics and probability
546344-2019,2019,École Polytechnique de Montréal,1000.0,,Research Training and Talent Development,Conférence en milieu scolaire,The socioeconomic objective available,Evolution and ecology
548913-2019,2019,University of Western Ontario,1000.0,,Research Training and Talent Development,Construisons des ponts,The socioeconomic objective available,Material science and technology
543269-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,Cross Institutional Project Based Rocketry Exploration & Study for High School Students,Energy resources,Fluid mechanics
549051-2019,2019,East Kootenay Regional Science Fair Society,1000.0,,Research Training and Talent Development,East Kootenay Regional Science Fair,Environment,Statistics and probability
544996-2019,2019,Canadian Mathematical Society,1000.0,,Research Training and Talent Development,European Girls' Mathematical Olympiad,Information and communication services,The available search field
537453-2019,2019,"Technoscience Mauricie, Centre-du-Québec",1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Quebec, final regional de la Mauricie, Centre-du-Quebec",The socioeconomic objective available,"Water quality, pollution"
548448-2019,2019,Technoscience Abitibi-Témiscamingue,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale 2020 de l'Abitibi-Témiscamingue",Energy resources,Hydrology
537458-2019,2019,Technoscience Côte-Nord,1000.0,,Research Training and Talent Development,"Expo-sciences hydro-Quebec, finale regionale de la Cote-Nord",Environment,Hydrology
549201-2019,2019,Technoscience Côte-Nord,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale de la Côte-Nord",Environment,Hydrology
549203-2019,2019,"Technoscience Mauricie, Centre-du-Québec",1000.0,,Research Training and Talent Development,"Exposciences Hydro-Québec, finale régionale de la Mauricie, Centre-du-Québec",The socioeconomic objective available,Hydrology
537452-2019,2019,Technoscience Région Métropolitaine,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Quebec, finale regionale de la Rive-Nord",Energy resources,Hydrology
549200-2019,2019,Technoscience Estrie,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale de l'Estrie",Environment,Hydrology
546334-2019,2019,Technoscience Outaouais,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale de l'Outaouais (volet secondaire et collégial) 2020",Environment,Geophysics
537455-2019,2019,Boîte à science - CLS de Québec,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Quebec, finale regionale de Quebe et Chaudiere-Appalaches",Energy resources,Environmental engineering
537450-2019,2019,Technoscience Saguenay-Lac-Saint-Jean,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale du Saguenay-Lac-Saint-Jean",Environment,Hydrology
549199-2019,2019,Technoscience Saguenay-Lac-Saint-Jean,1000.0,,Research Training and Talent Development,"Expo-sciences Hydro-Québec, finale régionale du Saguenay-Lac-Saint-Jean",Environment,Hydrology
548777-2019,2019,Université de Moncton,1000.0,,Research Training and Talent Development,Expo-sciences provinciale (volet francophone),The socioeconomic objective available,The available search field
546412-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Females Interested in Computer Science & Engineering Event in Summer 2020,Information and communication services,Mechanical engineering
546343-2019,2019,Carleton University,1000.0,,Research Training and Talent Development,Film festival to celebrate migratory fish on World Fish Migration Day,Environment,Animal ecology
546599-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,FirST EMpower - A one-day event aimed at inspiring students from inner city schools to consider a career in STEM,"Health, education and social services",Electrical and electronic engineering
537590-2019,2019,FIRST Technology Association Inc.,1000.0,,Research Training and Talent Development,First LEGO League World Festival Robotics Competition,Information and communication services,Robotics
543514-2019,2019,Carleton University,1000.0,,Research Training and Talent Development,Five-day freshwater science canoe-camping journey in the Poisson Blanc Regional Park,Northern development,Analytical chemistry
539937-2019,2019,McGill University,1000.0,,Research Training and Talent Development,Fostering a deeper understanding of the diverse ways rivers contribute to wellbeing,Environment,Hydrology
548441-2019,2019,Fraser Valley,1000.0,,Research Training and Talent Development,Fraser Valley Regional Science Fair,Environment,Soil science
536715-2019,2019,"Frontenac, Lennox and Addington Science Fair",1000.0,,Research Training and Talent Development,"Frontenac, Lennox and Addington Science Fair",Manufacturing processes and products,Particle physics
548802-2019,2019,"Frontenac, Lennox and Addington Science Fair",1000.0,,Research Training and Talent Development,"Frontenac, Lennox and Addington Science Fair",The socioeconomic objective available,Particle physics
539936-2019,2019,University of Ottawa,1000.0,,Research Training and Talent Development,General Chemistry,The socioeconomic objective available,Inorganic chemistry
544446-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Geological Sciences,Natural resources (economic aspects),Earth science
549143-2019,2019,Queen's University,1000.0,,Research Training and Talent Development,"Girls In Research, Leadership & Science (""""GIRLS"""") Summer Camp",Environment,Evolution and ecology
538340-2019,2019,Dalhousie University,1000.0,,Research Training and Talent Development,Halifax's Second Annual Soapbox Science Event,Northern development,Plant and treebiology
548799-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Hands-On STEM Programming for Youth during Women's Pamper Night,"Health, education and social services",Behavioural neuroscience
544557-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Human Body and Health,The socioeconomic objective available,The available search field
538208-2019,2019,Ryerson University,1000.0,,Research Training and Talent Development,Indigenous STEM Outreach - Neuroscience,The socioeconomic objective available,Neurophysiology
530934-2019,2019,University of Calgary,1000.0,,Research Training and Talent Development,Inspire Indigenous youths to pursue further study and careers in STEM,"Health, education and social services",Material science and technology
538197-2019,2019,McMaster University,1000.0,,Research Training and Talent Development,Interactive Polymerase Chain Reaction Workshop: a Primer on Biomedical Science,"Health, education and social services",Molecular biology
545462-2019,2019,Mount Allison University,1000.0,,Research Training and Talent Development,''Journée(s) Science'' i.e. Science Demonstrations for Francophone Schoolkids,"Health, education and social services",Plant and treebiology
548400-2019,2019,Praxis Society,1000.0,,Research Training and Talent Development,Kiwanis Regional Science Fair,Environment,Animal biology
546414-2019,2019,Lambton County Science Fair,1000.0,,Research Training and Talent Development,Lambton County Science Fair,The socioeconomic objective available,Biophysics
547645-2019,2019,Southern Alberta Technology Council,1000.0,,Research Training and Talent Development,Lethbridge Regional Science Fair and Science Olympics,Environment,Astronomy and astrophysics
548622-2019,2019,École de technologie supérieure,1000.0,,Research Training and Talent Development,L'impact des Énergies renouvelables dans la sauvegarde de l'environnement et dans notre vie,Energy resources,Geotechnical engineering
537603-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Living Canadian Scientist Role Models,"Health, education and social services",Earth science
538807-2019,2019,Cégep de la Gaspésie et des Îles,1000.0,,Research Partnerships,Maillage Merinov - Génidrone,The socioeconomic objective available,Genetics
537393-2019,2019,Manitoba Schools Science Symposium,1000.0,,Research Training and Talent Development,Manitoba Schools Science Symposium,The socioeconomic objective available,Plant ecology
538067-2019,2019,University of Winnipeg,1000.0,,Research Training and Talent Development,Motivating mathematics for elementary students through fun and accessible activities,Information and communication services,Kinesiology
548627-2019,2019,Mount Allison University,1000.0,,Research Training and Talent Development,Mount Allison Hackathon,The socioeconomic objective available,Software and development
548621-2019,2019,North Bay Regional Science Fair,1000.0,,Research Training and Talent Development,North Bay Regional Science Fair,Environment,Psychology
547642-2019,2019,Northern BC Regional Science Fair,1000.0,,Research Training and Talent Development,Northern BC Regional Science Fair,The socioeconomic objective available,Evolution and ecology
548867-2019,2019,Science East Association Inc.,1000.0,,Research Training and Talent Development,North-West New Brunswick Regional Science Fair,Agriculture and primary food production,Plant ecology
537134-2019,2019,Northwestern Ontario Regional Science Fair,1000.0,,Research Training and Talent Development,Northwestern Ontario Regional Science Fair,Environment,Terrestrial ecology
549013-2019,2019,Northwestern Ontario Regional Science Fair,1000.0,,Research Training and Talent Development,Northwestern Ontario Regional Science Fair,"Health, education and social services",Plant ecology
