FundingCode_CodeFinancement,FiscalYear_AnneeFinanciere,FundingReferenceNumber_NumeroReferenceFinancement,FamilyName_NomFamille,FirstName_Prenom,MiddleName_DeuxiemePrenom,InstitutionPaidNameEN_NomEtablissementPayeAN,InstitutionPaidNameFR_NomEtablissementPayeFR,InstitutionPaidCode_CodeEtablissementPaye,ResearchInstitutionNameEN_NomEtablissementRechercheAN,ResearchInstitutionNameFR_NomEtablissementRechercheFR,ResearchInstitutionCode_CodeEtablissementRecherche,ResearchInstitutionDepartment_DepartementEtablissementRecherche,CompetitionCode_CodeConcours,ProgramNameEN_NomProgrammeAN,ProgramNameFR_NomProgrammeFR,ProgramCode_CodeProgramme,ProgramTypeEN_TypeProgrammeAN,ProgramTypeFR_TypeProgrammeFR,CommitteeNameEN_NomComiteAN,CommitteeNameFR_NomComiteFR,CommitteeCode_CodeComite,CompetitionDate_DateConcours,CompetitionFY_AFConcours,FundingStartDate_DatePremierVersement,FundingEndDate_DateDernierVersement,AmountPaidFY_MontantPayeAF,TotalAmountPaid_MontantTotalPaye,TotalAmountAwarded_MontantTotalAccorde,PrimaryThemeEN_ThemePrincipalAN,PrimaryThemeFR_ThemePrincipalFR,PrimaryInstituteEN_InstitutPrincipalAN,PrimaryInstituteFR_InstitutPrincipalFR,AllResearchCategoriesEN_TousCategoriesRechercheAN,AllResearchCategoriesFR_TousCategoriesRechercheFR,ApplicationTitle_TitreDemande,ApplicationAbstract_ResumeDemande,ApplicationKeywords_MotsClesDemande
55506,202122,93542_1,Joanette,Yves,C.,,"CIUSSS du Centre-Sud-de-l'Ile-de-Montreal (Montreal, Quebec)",CFCL,,"CIUSSS du Centre-Sud-de-l'Ile-de-Montreal (Montreal, Quebec)",CFCL,Orthophonie et audiologie,200809MOP,Operating Grant,Subvention de fonctionnement,MOP,Grant Program,Programme de subvention,Biological and Clinical Aspects of Aging,Aspects biologiques et cliniques du vieillissement,BCA,2008-09-15,200809,2009-04-01,2021-09-30,92536,1963069,2055605,Clinical,Recherche clinique,Aging,Vieillissement,DISEASES AFFECTING SPEECH/VISION/HEARING; AGING; IMAGING,"TROUBLES DE LA PAROLE, DE LA VISION ET DE L'OUIE; VIEILLISSEMENT; IMAGERIE","Aging, neurofunctional reorganization and communication abilities","This research program is about how the brain reorganizes itself to support the preservation of communication abilities during successful aging. The components of communication that will be studied are important for everyday life as they include the ability to use and process the meanings of words, to understand narratives and to understand the non-literal meanings of utterances such as indirect requests. Using the most powerful neuroimaging technologies -- including functional magnetic resonance and optical imaging -- this study will allow to describe the patterns of neural networks for communication associated with successful aging. At the same time, the impact of education and the relationship with cognitive abilities will be explored. Overall, this program will allow us to identify the optimal functional reorganization that sustains successful communication with increased age as well as the most suitable rehabilitation strategies for elderly who have to live with communication deficits due to a brain lesion.",AGING; COMMUNICATION; INTER-HEMISPHERE DYNAMICS; MAGNETIC RESONANCE IMAGING (MRI); NEAR INFRARED SPECTROSCOPY; NEUROFUNCTIONAL REORGANIZATION
723208,202122,130529_1,Tannenbaum,Cara,,,"CIUSSS du Centre-Sud-de-l'Ile-de-Montreal (Montreal, Quebec)",CFCL,,"CIUSSS du Centre-Sud-de-l'Ile-de-Montreal (Montreal, Quebec)",CFCL,Research Centre,201303MOP,Operating Grant,Subvention de fonctionnement,MOP,Grant Program,Programme de subvention,Knowledge Translation Research,Recherche sur l'application des connaissances,KTR,2013-03-01,201213,2013-10-01,2024-06-30,315562,1368548,2394125,Clinical,Recherche clinique,Aging,Vieillissement,HEALTH PROMOTION; HEALTH SERVICES RESEARCH; POPULATION HEALTH; AGING,PROMOTION DE LA SANTE; RECHERCHES SUR LES SERVICES DE SANTE - GENERAL; SANTE DES POPULATIONS; VIEILLISSEMENT,Effectiveness of a consumer-targeted pharmacist-led educational intervention to reduce inappropriate prescriptions,"As Canadians age, the probability of suffering from different medical conditions and having to take many medications increases. As the number of medications increases, so too does the risk of side effects. Some medications pose greater risks than others. For example, some medications can cause a person to fall, have trouble with their memory, or lead to hospital emergency room visits for low blood sugar. When medications are prescribed for which safer alternatives exist, it is called ""inappropriate prescribing"". National specialist consensus panels regularly publish lists of inappropriate drugs that pose an elevated risk of adverse effects, yet unfortunately inappropriate prescribing persists. As many as 1 in 4 Canadian seniors on public drug programs consume one or more inappropriate medications. Our project proposes a novel intervention whereby pharmacists provide educational materials to both seniors and their primary care providers on the risks of taking inappropriate prescriptions. Recommendations to change inappropriate prescriptions to safer alternatives are provided. Forty-six community pharmacies in Quebec will help us recruit 400 of clients to this project. We hope to show that empowered patients can play a role in helping health professionals reduce inappropriate prescriptions and increase medication safety in the elderly.",EDUCATIONAL INTERVENTION; INAPPROPRIATE PRESCRIBING; PATIENTS; PHARMACISTS; RANDOMIZED CONTROL TRIAL
917785,202122,43230_3,University Of Calgary,.,,University of Calgary,,CBBA,University of Calgary,,CBBA,,201304ISP,Institute Support Grant,Subvention d'appui a l'Institut,ISP,Grant Program,Programme de subvention,Special Cases,Cas speciaux,***,2013-04-01,201314,2013-08-01,2022-08-31,1000000,7666667,9083334,Not applicable/Specified,Sans Objet/Specifie,Cancer Research,Cancer,,,"The Institute Support Grant for the CIHR Institute of Cancer Research (ICR), a constituent Institute of the Canadian Institutes of Health Research",,ICR
866743,202122,132633_1,Robbins,Stephen,Mark,University of Calgary,,CBBA,University of Calgary,,CBBA,,201301IOP,Scientific Director Research Program Supplement,Supplement aux programme de recherche - Directeurs Scientifique,IOP,Grant Program,Programme de subvention,Special Cases,Cas speciaux,***,2013-01-01,201213,2013-07-01,2022-06-30,150000,1162500,1500000,Biomedical,Recherche biomedicale,Cancer Research,Cancer,,,Scientific Director Supplement Grant,,ONCOLOGY
508731,202122,136632_1,Gershon,Andrea,Sara,"Sunnybrook Research Institute (Toronto, Ontario)",,CEAF,"Sunnybrook Research Institute (Toronto, Ontario)",,CEAF,,201312MSH,CIHR New Investigator,Nouveau chercheur des IRSC,MSH,Award Program,Programme de bourse,Health Research Salary A,Appui salarial de recherche en sante A,HSA,2013-12-02,201314,2015-03-01,2022-02-28,55000,245000,300000,Health systems/services,Systemes/services de sante,Health Services and Policy Research,Services et politiques de la sante,CHRONIC OBSTRUCTIVE LUNG DISEASE; HEALTH SERVICES RESEARCH; RESPIRATION,MALADIE PULMONAIRE CHRONIQUE OBSTRUCTIVE; RECHERCHES SUR LES SERVICES DE SANTE - GENERAL; RECHERCHE SUR LES SERVICES DE SANTE; RESPIRATION,The Chronic Obstructive Pulmonary Disease (COPD) Health Outcomes Team (COHORT),"Chronic obstructive pulmonary disease (COPD), also known as emphysema or chronic bronchitis, is the third leading cause of death worldwide. In Canada, it affects an estimated one in four adults aged 35 and older and is the most common cause of chronic disease hospital admission and readmission. My goal is to improve the health of the substantial number of Canadians affected by COPD and reduce its burden on our health care system. I am an internationally known health services researcher and a practicing respirologist who has published high impact studies in the world's most prestigious peer review medical journals. I have received close to 17 million dollars in peer-reviewed funding as principal and co-investigator. I will conduct my research using unique population data sources-including clinical databases and electronic medical records-and innovative techniques to examine the real world experiences of people with COPD. My success will be assured through excellent mentorship, an outstanding research environment and by working with an engaged network of clinicians, decision makers and stakeholders to ensure my results are immediately relevant and applied in improving clinical care and developing health policy. Over the next five years, the following four objectives will drive my research and knowledge translation agenda: 1. Create new knowledge that improves clinical care and policy for people with COPD, 2. Identify and fill gaps in quality, evidence-based COPD care, 3. Ensure my research results are translated into improvements in COPD clinical care and policy and ultimately contribute to improved health and a strengthened health care system, and 4. Train and mentor the next generation of respiratory disease researchers and knowledge translation specialists. Achieving my objectives will lead to substantial and sustainable improvements in care for Canadians with COPD, improving their health and reducing strain on our already overburdened health care system.",CHRONIC OBSTRUCTIVE PULMONARY DISEASE; EFFECTIVENESS; EPIDEMIOLOGY; HEALTH SERVICE RESEARCH; QUALITY OF CARE; SAFETY
675524,202122,87172_2,Illes,Judy,,University of British Columbia,,CAAA,University of British Columbia,,CAAA,,201304T1C,Canada Research Chairs - CIHR Funded - Tier 1,Chaires de recherche du Canada - financees par les IRSC - Niveau 1,T1C,Award Program,Programme de bourse,Special Cases - Awards Programs,Cas speciaux - programmes de bourses,*A*,2013-04-29,201314,2014-08-01,2021-07-31,50000,1350000,1400000,,,,,Other medical research,,Neuroethics,"This application represents the renewal of the Canada Research in Neuroethics and continued Canada-wide and international leadership in empirical research and clinical and policy studies at the intersections of neuroscience, ethics, policy, law and society. The impact of the work touches all: healthy children and older people; patients, families and physicians who must face challenges of neurological and psychiatric disorders every day; and researchers who devote their lives to improving brain health. The program of work explicitly respects the diversity and cultural views of the Canadian population and seeks to advance the field and reach of neuroethics through this global lens.","neuroethics, neuroscience, neurotechnology, health policy, science communication, mental and cognitive health, aging and dementia, neurodevelopment, neuroregeneration, addiction"
840659,202122,87216_2,Nickel,John,Curtis,"Queen's University (Kingston, Ontario)",,CEDA,"Queen's University (Kingston, Ontario)",,CEDA,,201304T1C,Canada Research Chairs - CIHR Funded - Tier 1,Chaires de recherche du Canada - financees par les IRSC - Niveau 1,T1C,Award Program,Programme de bourse,Special Cases - Awards Programs,Cas speciaux - programmes de bourses,*A*,2013-04-29,201314,2014-09-01,2021-08-31,50000,1350000,1400000,,,,,Health,,Urologic Pain and Inflammation,"Urologic Chronic Pelvic Pain afflicts 2-6% of men and women, with many suffering a dismal quality of life and significant disability. Benign Prostatic Hyperplasia occurs in 50% of men with associated bothersome voiding symptoms and with progression, some serious consequences. Our research program, built on a foundation of Kingston, Canadian and International collaborations will continue to investigate the epidemiology, etiology, and pathogenesis, improve categorization, diagnostics and our understanding of associated psychosocial, neurologic and gastrointestinal dysfunction and develop evidence based management strategies for men and women suffering from interstitial cystitis/bladder pain syndrome, chronic prostatitis/chronic pelvic pain syndrome and benign prostatic hyperplasia.","prostatitis, interstitial cystitis, bladder pain syndrome, chronic pelvic pain syndrome, urologic chronic pelvic pain syndrome, benign prostatic hyperplasia"
617807,202122,137042_1,Rauch,Frank,,McGill University,Universite McGill,CFAA,Shriners Hospital for Children (Montreal),Hopital Shriners pour enfants,CPTG,,201403MOP,Operating Grant,Subvention de fonctionnement,MOP,Grant Program,Programme de subvention,"Public, Community & Population Health 2","Sante publique, sante communautaire et sante des populations 2",PH2,2014-03-03,201314,2014-07-01,2022-06-30,154238,1140736,1334440,Social/Cultural/Environmental/Population Health,"Sante des populations/influence soc., culturelles environmt.",Population and Public Health,Sante publique et des populations,,,"Muscle-bone interactions in Canadians: a national, population-based study","Osteoporosis is a common bone disorder that can affect people of any age, even children. The role of muscle as a determinant of bone health is increasingly recognized, but factors influencing muscle-bone interactions across the lifespan have not been investigated in detail. Overall Objective: In this study we will elucidate determinants of muscle-bone interactions in Canadians from 6 to 79 years of age. Study Design: The Canadian Health Measures Survey (CHMS) is a fully operational program for determining health indicators the Canadian population that is led by Statistics Canada. Statistics Canada has agreed to our proposal to collect data on musculoskeletal health in a population-based sample of 10,000 Canadians from 6 to 79 years of age. Participants will undergo peripheral quantitative computed tomography to assess muscle and bone characteristics at the lower leg, muscle function tests, as well as biomarkers of bone metabolism. The aims are (1) to develop reference data for key musculoskeletal parameters; (2) to assess the muscle-bone relationship in healthy subjects and (3) to assess the effect of common obesity on the muscle-bone relationship. Statistics Canada has agreed to contribute $5,700,000 to this project. Clinical Importance: These studies will improve tools to study muscle-bone interactions and identify factors that can be targeted for interventions. As CHMS makes raw data of all studies available to the Canadian scientific community, the present project establishes a research platform that can be accessed by multiple investigators in Canada.",BONE METABOLISM; MECHANOGRAPHY; MUSCLE FUNCTION; OSTEOPOROSIS; PERIPHERAL QUANTITATIVE COMPUTED TOMOGRAPHY; POPULATION-BASED
680279,202122,135810_1,Iyer,Srividya,Narayanan,CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Hopital Douglas,CFAD,CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Hopital Douglas,CFAD,,201403MHB,GBF/CIHR Network in Youth and Adolescent Mental Health - Full application,Reseau de recherche transformationnelle sur la sante mentale des adolescents FGB-IRSC -demande detaillee,MHB,Grant Program,Programme de subvention,GBF/CIHR Network in Youth and Adolescent Mental Health,Reseau de recherche transformationnelle sur la sante mentale des adolescents FGB-IRSC,MHT,2014-03-13,201314,2014-04-01,2022-03-31,206564,24336557,24543121,Health systems/services,Systemes/services de sante,"Neurosciences, Mental Health and Addiction","Neurosciences, sante mentale et toxicomanies",MENTAL AND BEHAVIOURAL DISEASES; HEALTH CARE DELIVERY; MENTAL HEALTH; HEALTH SERVICES RESEARCH,TROUBLES MENTAUX ET COMPORTEMENTAUX; DISTRIBUTION DES SOINS DE LA SANTE; SANTE MENTALE; RECHERCHE SUR LES SERVICES DE SANTE,"Developing, Implementing and Evaluating a Model for Youth Mental Health Service Transformation: ACCESS*- Canada *ACCESS: Adolescent / young adult Connections to Community-driven, Early, Strengths-based and stigma-free Services","Over 75% of mental disorders begin in early adolescence or young adulthood. When untreated, mental disorders can have serious negative consequences for youth, cause immense suffering for youth and families, and have high costs to society. Outcomes for most mental disorders have remained generally poor for many years. It is estimated that only 20-25% of youth with mental health challenges in Canada receive help. A major reason for this are inadequacies in the manner in which mental health services are provided to youth. Current services often do not offer ""best-practice"" treatments in a readily accessible way. Other obstacles include long wait times and difficulties encountered in navigating a complicated mental health care system. Also, traditional mental health services often do not sufficiently engage youth, resulting in high drop-out rates. ACCESS is a network including youth, families, mental health clinicians, researchers, policy makers and community members. Our goal is to conduct an in-depth, innovative transformation in the way youth are cared for by mental health services in the ""real world"", and to evaluate what worked. At sites across Canada, this transformation will target urban, rural and Aboriginal youth, and vulnerable populations including youth who are homeless, under youth protection or in contact with the criminal justice system. Our major aims are: -To identify more youth in need, sooner, through improved mental health awareness, well-publicized means of entry, open referral and rapid response (within 72 hours) -To offer the youth appropriate, optimal care with seamless navigation through various services -To create cultures of care that feature youth-friendly treatment, an optimistic tone, sustained youth and family participation at all levels, shared decision making and improved work/educational outcomes -A final important goal will be to sustain the positive changes in mental health services that produce better outcomes for our youth",YOUTH MENTAL HEALTH
219963,202122,143202_1,Grinstein,Sergio,,Hospital for Sick Children (Toronto),,CEAB,Hospital for Sick Children (Toronto),,CEAB,Cell Biology,201409FDN,Foundation Grant,Subvention Fondation,FDN,Grant Program,Programme de subvention,Foundation Grant,Subvention Fondation,FDN,2014-09-15,201415,2015-07-01,2022-06-30,282502,4030804,4550966,Biomedical,Recherche biomedicale,Infection and Immunity,Maladies infectieuses et immunitaires,MULTIPLE DISEASE RELEVANCE; INFECTIOUS AND PARASITIC; CELL BIOLOGY; IMMUNOLOGY-TRANSPLANTATION,RECHERCHES SE RAPPORTANT A PLUSIEURS MALADIES; MALADIES INFECTIEUSES ET PARASITAIRES; BIOLOGIE CELLULAIRE; IMMUNOLOGIE/TRANSPLANTATION,"The cell physiology of innate immunity: signal transduction, ion transport and membrane traffic.",,CYTOSKELETON; MACROPHAGES; PH REGULATION; PHAGOCYTOSIS; PHOSPHOLIPIDS; RECEPTORS
