cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
57999,Dialogue: Canadian Philosophical Review,General Support," $58,800 ",2019,The Canadian Philosophical Association,L'Association canadienne de philosophie,ON,Ontario,Ontario,2018,Dialogue. Canadian Philosophical Review / Dialogue. Revue canadienne de philosophie,philosophie; éthique; philosophie politique; épistémologie; histoire de la philosophie,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96152,Papers in Political Economy,General Support," $21,000 ",2019,Télé-université,Télé-université,QC,Quebec,Québec,2018,Papers in Political Economy / Interventions économiques,économie politique; sociologie économique; grands économistes; pensée économique hétérodoxe; travail; emploi; mondialisation,Aid to Scholarly Journals,Aide aux revues savantes,Labour and Demographic Economics,Économie du travail et démographie,Economics,Science économique,Globalization,Mondialisation
96154,Manitoba Law Journal,General Support," $30,000 ",2019,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,2018,The Manitoba Law Journal,law; Manitoba; legislation; public policy; provincial politics; regulation; criminology,Aid to Scholarly Journals,Aide aux revues savantes,Law,Droit,Law,Droit,Law and Justice,Droit et justice
96155,Science et Esprit,General Support," $31,050 ",2019,Dominican University College,Collège universitaire dominicain,ON,Ontario,Ontario,2018,Science et Esprit,évolution culturelle; questionnements et vécu actuels; implications et éclairages philosophiques et théologique,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96156,Canadian Journal of Applied Linguistics,General Support," $17,600 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2018,Canadian Journal of Applied Linguistics / Revue canadienne de linguistique appliquée,applied linguistics; second; foreign and additional languages; bilingualism and second language learning; educational linguistics,Aid to Scholarly Journals,Aide aux revues savantes,Applied Linguistics,Linguistique appliquée,Linguistics,Linguistique,Education,Éducation
96157,Canadian Journal of Learning and Technology,General Support," $20,750 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2018,Canadian Journal of Learning and Technology / La revue canadienne de l'apprentissage et de la technologie,teaching; learning; educational technology; instructional design; learning theory; cognition; computer applications; online learning,Aid to Scholarly Journals,Aide aux revues savantes,Educational Technology (Media),Technologie éducative (médias),Education,Éducation,Education,Éducation
96158,Canadian Journal of Communication,General Support," $27,200 ",2019,Canadian Journal of Communication,Canadian Journal of Communication,BC,British Columbia,Colombie-Britannique,2018,Canadian Journal of Communication,quantitative and qualitative media studies; cultural studies; journalism studies; communication theory; communication practices,Aid to Scholarly Journals,Aide aux revues savantes,Communications and Media Studies,Communications et études des médias,Communications and Media Studies,Communications et études des médias,Communication,Communications
96159,Journal of Rural and Community Development,General Support," $22,050 ",2019,Brandon University,Brandon University,MB,Manitoba,Manitoba,2018,Journal of Rural and Community Development,economic development; community case study; program evaluation; rural health; governance; resource management and development; rural restructuring; service delivery,Aid to Scholarly Journals,Aide aux revues savantes,Community Development,Développement communautaire,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Economic and Regional Development,Développement économique et régional
96160,Revue d'histoire de l'Amérique française,General Support," $17,600 ",2019,Université de Sherbrooke,Université de Sherbrooke,QC,Quebec,Québec,2018,Revue d'histoire de l'Amérique française,Amérique française; généraliste; histoire; XVIe-XXIe siècles,Aid to Scholarly Journals,Aide aux revues savantes,History,Histoire,History,Histoire,Not Subject to Research Classification,Sans objet
96161,Revue Recherches féministes,General Support," $34,140 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Recherches féministes,rapports sociaux de sexe et de genre; condition féminine; changement social; intersectionnalité; représentations,Aid to Scholarly Journals,Aide aux revues savantes,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Women,Femmes
